protein_id,fc_1_v_3
Clo1313_1002,-1.21405375
Clo1313_1005,-3.238795
Clo1313_1007,-1.94781
Clo1313_1008,0.515606250000001
Clo1313_1009,-0.740536249999998
Clo1313_1010,0.306660000000001
Clo1313_1012,0.381564062499997
Clo1313_1013,-0.041768124999997
Clo1313_1017,0.251842500000002
Clo1313_1020,0.044291250000001
Clo1313_1021,-2.54644475
Clo1313_1024,-0.159091250000003
Clo1313_1025,-0.184714999999997
Clo1313_1027,0.557385
Clo1313_1029,-0.10887125
Clo1313_1030,-0.496256250000002
Clo1313_1032,-0.825595624999998
Clo1313_1034,-0.57053625
Clo1313_1036,1.679825
Clo1313_1040,-2.03348875
Clo1313_1046,-0.129888750000003
Clo1313_1052,-1.1770975
Clo1313_1053,-3.116584
Clo1313_1054,0.678614999999997
Clo1313_1056,-0.191384999999997
Clo1313_1057,-0.50950390625
Clo1313_1058,-0.285505000000001
Clo1313_1068,0
Clo1313_1070,-1.915185
Clo1313_1073,2.60991625
Clo1313_1074,-2.5861
Clo1313_1076,-0.54451375
Clo1313_1081,1.088625
Clo1313_1082,-0.262474999999995
Clo1313_1087,-0.632658750000001
Clo1313_1089,-0.328108750000002
Clo1313_1096,0.0070275
Clo1313_1098,0.448605000000001
Clo1313_1099,-0.391917500000002
Clo1313_1103,8.884035
Clo1313_1106,-2.00389
Clo1313_1107,-0.781567500000001
Clo1313_1108,-1.9834125
Clo1313_1109,-1.034675
Clo1313_1110,-2.0601025
Clo1313_1111,-1.82771
Clo1313_1112,-1.75011625
Clo1313_1114,-1.57350375
Clo1313_1115,-2.16888875
Clo1313_1118,-0.385881249999999
Clo1313_1119,-2.25139
Clo1313_1120,1.24031
Clo1313_1122,0.2357975
Clo1313_1123,-2.71606
Clo1313_1124,0.520277500000002
Clo1313_1138,-3.22036
Clo1313_1142,-0.352475
Clo1313_1143,-3.04036
Clo1313_1146,0.2527925
Clo1313_1150,-0.414563749999999
Clo1313_1151,0.76864625
Clo1313_1154,0.541377499999998
Clo1313_1155,1.4661071875
Clo1313_1157,-4.1369775
Clo1313_1159,-0.558039999999998
Clo1313_1160,0.491910000000001
Clo1313_1161,1.01114125
Clo1313_1163,1.16230796875
Clo1313_1165,-0.254378749999999
Clo1313_1172,0.359301249999998
Clo1313_1174,0.567687499999998
Clo1313_1178,0.359973749999998
Clo1313_1180,-5.639755
Clo1313_1185,-0.06542
Clo1313_1186,-0.882843749999999
Clo1313_1187,3.55941
Clo1313_1188,4.67301875
Clo1313_1192,0.136834999999998
Clo1313_1194,0.51052546875
Clo1313_1195,-0.380343750000002
Clo1313_1196,-0.922906250000004
Clo1313_1201,0.954709999999999
Clo1313_1205,-0.071059999999999
Clo1313_1206,-4.04238
Clo1313_1207,-1.177085
Clo1313_1208,-1.6971825
Clo1313_1209,0.139791249999998
Clo1313_1210,0.486182499999998
Clo1313_1211,-5.19501
Clo1313_1212,1.257675
Clo1313_1214,-3.49448375
Clo1313_1216,-3.0991525
Clo1313_1217,-3.63637
Clo1313_1218,0.459006250000002
Clo1313_1219,-0.50437775
Clo1313_1221,1.26863
Clo1313_1222,-0.036694999999998
Clo1313_1225,-0.003024374999999
Clo1313_1227,0.275862499999999
Clo1313_1232,2.3539925
Clo1313_1237,5.21034
Clo1313_1239,-1.5238635
Clo1313_1240,0.0099625
Clo1313_1241,0.141008499999998
Clo1313_1251,0.3551245
Clo1313_1253,0.388446250000001
Clo1313_1254,0.021248125
Clo1313_1255,0.31340625
Clo1313_1258,-0.33428
Clo1313_1259,1.0570275
Clo1313_1262,0.204383749999998
Clo1313_1264,1.63193375
Clo1313_1265,2.352645
Clo1313_1266,1.38946499999999
Clo1313_1267,2.4470825
