icbi_id,icbi_rxn,isg_rxn,isg_id,icbi_mb,curated_rxn,curation_notes
MAGS,0.022 branch_c13_fa_c + 0.133 branch_c17_fa_c + 0.051 deceACP_c + glyc3p_c + 0.552 hexdACP_c + 0.062 ocdACP_c + 0.054 tdeceACP_c + 0.125 tpalm2eACP_c <=> 1ag3p_gen_c + 0.844 ACP_c + 8.88178419700125e-16 h2o_c + 197.845 h_c,0.022 branch_c13_fa_c + 0.133 branch_c17_fa_c + 0.051 deceACP_c + glyc3p_c + 0.552 hexdACP_c + 0.062 ocdACP_c + 0.054 tdeceACP_c + 0.125 tpalm2eACP_c <=> 1ag3p_gen_c + 0.844 ACP_c + 8.881784197001252e-16 h2o_c,MAGS,"{'charge': -0.15499999999998537, 'C': 1848.0660000000003, 'H': 3796.522, 'O': 689.901, 'P': 98.99999999999999, 'N': -2.220446049250313e-16, 'R': -1.1102230246251565e-16, 'S': -1.1102230246251565e-16}",0.022 branch_c13_fa_c + 0.133 branch_c17_fa_c + 0.051 deceACP_c + glyc3p_c + 0.552 hexdACP_c + 0.062 ocdACP_c + 0.054 tdeceACP_c + 0.125 tpalm2eACP_c <=> 1ag3p_gen_c + 0.844 ACP_c + 8.881784197001252e-16 h2o_c,
MCACPR,3mb2cACP_c + nadh_c <=> 3mbACP_c + nad_c,3mb2cACP_c + h_c + nadh_c <=> 3mbACP_c + nad_c,MCACPR,"{'charge': -1.0, 'C': -8.0, 'H': -14.0, 'O': -13.0, 'N': 2.0, 'P': 1.0, 'R': 1.0, 'S': 1.0}",3mb2cACP_c + h_c + nadh_c <=> 3mbACP_c + nad_c,
MTAS,30.0 h2o_c + 30.0 udpacgal_c + 30.0 udpg_c --> 30.0 h_c + min_tea_c + 30.0 udp_c + 30.0 ump_c,30.0 h2o_c + 30.0 udpacgal_c + 30.0 udpg_c --> 60.0 h_c + min_tea_c + 30.0 udp_c + 30.0 ump_c,MTAS,"{'H': -58.0, 'O': -29.0}",30.0 h2o_c + 30.0 udpacgal_c + 30.0 udpg_c --> 60.0 h_c + min_tea_c + 30.0 udp_c + 30.0 ump_c,
PCMT,12.0 h_c + 6.0 mmcoa__S_c + 6.0 nadph_c + ppcoa_c --> 6doer_c + 6.0 co2_c + 7.0 coa_c + h2o_c + 6.0 nadp_c,12.0 h_c + 6.0 mmcoa__S_c + 6.0 nadph_c + ppcoa_c --> 6doer_c + 6.0 co2_c + 7.0 coa_c + h2o_c + 6.0 nadp_c,PCMT,"{'charge': -5.0, 'C': 4.0, 'H': -3.0, 'N': 7.0, 'O': 13.0, 'P': 3.0, 'S': 1.0}",12.0 h_c + 6.0 mmcoa__S_c + 6.0 nadph_c + ppcoa_c --> 6doer_c + 6.0 co2_c + 7.0 coa_c + h2o_c + 6.0 nadp_c,
PPAna,na1_c + 2.0 pi_c --> h2o_c + ppi_c,2.0 na1_e + 2.0 pi_c --> h2o_c + na1_c + ppi_c,PPAna,"{'H': 1.0, 'Na': -1.0}",2.0 na1_e + 2.0 pi_c --> h2o_c + na1_c + ppi_c,
RDXR,h_c + nad_c + 2.0 rdxr_c <=> nadh_c + 2.0 rdxo_c,nad_c + 2.0 rdxr_c <=> h_c + nadh_c + 2.0 rdxo_c,RDXR,{'charge': -2.0},nad_c + 2.0 rdxr_c <=> h_c + nadh_c + 2.0 rdxo_c,
SERTRS2,atp_c + ser__L_c + trnasec_c --> amp_c + 4.0 h_c + ppi_c + sertrna_sec_c,atp_c + ser__L_c + trnasec_c --> amp_c + ppi_c + sertrna_sec_c,SERTRS2,"{'C': 5.0, 'H': 13.0, 'N': -5.0, 'O': 13.0, 'P': 2.0, 'R': 2.0}",atp_c + ser__L_c + trnasec_c --> amp_c + ppi_c + sertrna_sec_c,
SHCHD2,nad_c + shcl_c --> 2.0 h_c + nadh_c + srch_c,nad_c + shcl_c --> 2.0 h_c + nadh_c + srch_c,SHCHD2,"{'charge': -3.0, 'H': 37.0, 'C': 36, 'N': 4, 'O': 9}",nad_c + shcl_c --> 2.0 h_c + nadh_c + srch_c,
SHCHF,3.0 h_c + sheme_c <=> fe2_c + srch_c,2.0 h_c + sheme_c <=> fe2_c + srch_c,SHCHF,{'charge': -2.0},2.0 h_c + sheme_c <=> fe2_c + srch_c,
THFGLUS,atp_c + glu__L_c + thf_c --> adp_c + h_c + pi_c + thfyglu_c,atp_c + glu__L_c + thf_c --> adp_c + h_c + pi_c + thfyglu_c,THFGLUS,"{'charge': -1.0, 'C': 5.0, 'H': 6.0, 'N': 1.0, 'O': 3.0}",atp_c + glu__L_c + thf_c --> adp_c + h_c + pi_c + thfyglu_c,
THISAT,SCP_c + atp_c --> adenSCP_c + ppi_c,SCP_c + atp_c + h_c --> adenSCP_c + ppi_c,THISAT,"{'C': -10.0, 'H': -12.0, 'N': -5.0, 'O': -6.0, 'P': -1.0}",SCP_c + atp_c + h_c --> adenSCP_c + ppi_c,
TRNAATPAT,atp_c + 6.0 h2o_c + trnacc_c --> ppi_c + trnacca_c,atp_c + 6.0 h2o_c + trnacc_c --> ppi_c + trnacca_c,TRNAATPAT,"{'C': -10.0, 'H': -24.0, 'N': -5.0, 'O': -12.0, 'P': -1.0}",atp_c + 6.0 h2o_c + trnacc_c --> ppi_c + trnacca_c,
TRNACCAT,atp_c + 2.0 ctp_c + trnaprec_c --> 3.0 ppi_c + trnacca_c,atp_c + 2.0 ctp_c + trnaprec_c --> 3.0 ppi_c + trnacca_c,TRNACCAT,"{'C': -28.0, 'H': -36.0, 'N': -11.0, 'O': -20.0, 'P': -3.0}",atp_c + 2.0 ctp_c + trnaprec_c --> 3.0 ppi_c + trnacca_c,
TRNACTPAT,ctp_c + trnaprec_c --> h_c + ppi_c + trnacyt_c,ctp_c + trnaprec_c --> ppi_c + trnacyt_c,TRNACTPAT,"{'charge': 1.0, 'C': -9.0, 'H': -11.0, 'N': -3.0, 'O': -7.0, 'P': -1.0}",ctp_c + trnaprec_c --> ppi_c + trnacyt_c,
TRNACTPAT2,ctp_c + h_c + trnacyt_c --> 6.0 h2o_c + ppi_c + trnacc_c,ctp_c + trnacyt_c --> 6.0 h2o_c + ppi_c + trnacc_c,TRNACTPAT2,"{'charge': -1.0, 'C': -9.0, 'H': -1.0, 'N': -3.0, 'O': -1.0, 'P': -1.0}",ctp_c + trnacyt_c --> 6.0 h2o_c + ppi_c + trnacc_c,
UPP3MT,2.0 amet_c + uppg3_c --> 2.0 ahcys_c + 2.0 h_c + scl_c,2.0 amet_c + uppg3_c --> 2.0 ahcys_c + h_c + shcl_c,UPP3MT,{'H': -2.0},2.0 amet_c + uppg3_c --> 2.0 ahcys_c + h_c + shcl_c,
